x,y
7.026606,8.688891
6.914605,8.689503
6.802608,8.689922
6.690614,8.690242
6.578622,8.690555
6.466632,8.690953
6.354641,8.691529
6.242649,8.692333
6.130656,8.693346
6.018663,8.694543
5.906668,8.695899
5.794673,8.697390
5.682678,8.698989
5.570682,8.700673
5.458685,8.702416
5.346688,8.704193
5.234691,8.705979
5.122694,8.707750
5.010696,8.709481
4.898698,8.711145
4.786700,8.712719
4.674702,8.714178
4.562705,8.715496
4.450707,8.716649
4.338710,8.717611
4.226713,8.718358
4.114716,8.718865
4.002720,8.719107
3.890724,8.719071
3.778729,8.718775
3.666734,8.718239
3.554740,8.717484
3.442745,8.716530
3.330751,8.715399
3.218757,8.714111
3.106763,8.712687
2.994768,8.711148
2.882774,8.709514
2.770780,8.707806
2.658785,8.706044
2.546790,8.704250
2.434794,8.702444
2.322798,8.700647
2.210801,8.698880
2.098804,8.697163
1.986806,8.695517
1.874807,8.693963
1.762808,8.692521
1.650808,8.691212
1.538806,8.690058
1.426804,8.689077
1.314800,8.688293
1.202796,8.687724
1.090790,8.687392
0.978783,8.687305
0.866774,8.687433
0.754765,8.687741
0.642756,8.688191
0.530745,8.688750
0.418735,8.689379
0.306725,8.690043
0.194715,8.690707
0.082705,8.691334
-0.029304,8.691888
-0.141312,8.692333
-0.253319,8.692633
-0.365324,8.692753
-0.477328,8.692655
-0.589330,8.692304
-0.701331,8.691664
-0.813329,8.690700
-0.925324,8.689374
-1.037317,8.687651
-1.149308,8.685494
-1.261295,8.682869
-1.373278,8.679739
-1.485259,8.676107
-1.597236,8.672029
-1.709210,8.667564
-1.821180,8.662773
-1.933147,8.657714
-2.045111,8.652449
-2.157072,8.647036
-2.269030,8.641535
-2.380985,8.636006
-2.492937,8.630510
-2.604885,8.625105
-2.716831,8.619852
-2.828774,8.614810
-2.940715,8.610040
-3.052652,8.605600
-3.164587,8.601552
-3.276519,8.597953
-3.388448,8.594865
-3.500375,8.592347
-3.612300,8.590460
-3.724221,8.589261
-3.836141,8.588813
-3.948058,8.589173
-4.059972,8.590403
-4.171885,8.592558
-4.283794,8.595620
-4.395701,8.599507
-4.507604,8.604135
-4.619502,8.609419
-4.731396,8.615274
-4.843285,8.621617
-4.955167,8.628363
-5.067043,8.635427
-5.178912,8.642724
-5.290774,8.650171
-5.402627,8.657682
-5.514472,8.665174
-5.626307,8.672562
-5.738133,8.679760
-5.849948,8.686686
-5.961753,8.693254
-6.073545,8.699380
-6.185326,8.704979
-6.297095,8.709967
-6.408850,8.714260
-6.520592,8.717774
-6.632321,8.720483
-6.744042,8.722430
-6.855757,8.723660
-6.967470,8.724220
-7.079186,8.724157
-7.190906,8.723516
-7.302635,8.722343
-7.414377,8.720685
-7.526135,8.718589
-7.637912,8.716099
-7.749713,8.713264
-7.861540,8.710128
-7.973397,8.706739
-8.085288,8.703142
-8.197217,8.699383
-8.309186,8.695510
-8.421200,8.691567
-8.533262,8.687602
-8.645375,8.683661
-8.757543,8.679789
-8.869771,8.676034
-8.982060,8.672441
-9.094415,8.669056
-9.206840,8.665927
-9.306834,8.663396
-9.406888,8.661136
-9.507004,8.659179
-9.607181,8.657537
-9.707399,8.656163
-9.807638,8.655001
-9.907878,8.653994
-10.008097,8.653086
-10.108275,8.652219
-10.208391,8.651337
-10.308424,8.650383
-10.420837,8.649153
-10.533090,8.647680
-10.645154,8.645882
-10.756998,8.643680
-10.868593,8.640992
-10.979910,8.637737
-11.090920,8.633835
-11.201592,8.629205
-11.311898,8.623766
-11.421817,8.617455
-11.531491,8.610503
-11.641193,8.603385
-11.751204,8.596583
-11.861800,8.590579
-11.973261,8.585855
-12.073288,8.583121
-12.174414,8.582118
-12.276834,8.583184
-12.380745,8.586659
-12.486136,8.592476
-12.592191,8.598958
-12.697891,8.604035
-12.802219,8.605632
-12.904156,8.601678
-13.014709,8.588013
-13.119499,8.561746
-13.217075,8.519928
-13.306303,8.460143
-13.389709,8.386200
-13.462911,8.314909
-13.538305,8.243674
-13.613508,8.172733
-13.683068,8.099543
-13.747743,8.011301
-13.790762,7.913400
-13.811392,7.805694
-13.816383,7.704616
-13.814035,7.601276
-13.809337,7.498312
-13.805376,7.397257
-13.801495,7.285351
-13.797445,7.174524
-13.792419,7.063939
-13.785855,6.952934
-13.778076,6.841479
-13.769603,6.729687
-13.760954,6.617671
-13.752652,6.505545
-13.745212,6.393420
-13.738873,6.281361
-13.733477,6.169365
-13.728835,6.057423
-13.724756,5.945526
-13.721050,5.833666
-13.717528,5.721833
-13.713998,5.610020
-13.710272,5.498217
-13.706186,5.386418
-13.701623,5.274622
-13.696470,5.162828
-13.690616,5.051036
-13.683946,4.939244
-13.676349,4.827452
-13.667713,4.715659
-13.657924,4.603865
-13.646870,4.492068
-13.634662,4.380271
-13.623336,4.280905
-13.610681,4.169140
-13.598777,4.057410
-13.588308,3.945726
-13.579958,3.834100
-13.574411,3.722546
-13.572351,3.611075
-13.574445,3.499698
-13.580789,3.388418
-13.590768,3.277221
-13.603725,3.166093
-13.618999,3.055020
-13.635933,2.943990
-13.653868,2.832988
-13.672144,2.722000
-13.690103,2.611013
-13.707086,2.500013
-13.722446,2.388987
-13.735901,2.277911
-13.747627,2.166754
-13.757825,2.055482
-13.766697,1.944061
-13.774444,1.832459
-13.781270,1.720642
-13.787375,1.608576
-13.792962,1.496229
-13.797656,1.396102
-13.802021,1.295755
-13.805320,1.195371
-13.806695,1.095163
-13.804871,0.982904
-13.798300,0.871438
-13.785760,0.761069
-13.766036,0.652065
-13.737981,0.544425
-13.705150,0.449778
-13.664078,0.356000
-13.614264,0.263970
-13.555971,0.177205
-13.489587,0.099664
-13.405718,0.028389
-13.312669,-0.020708
-13.211442,-0.046645
-13.103538,-0.053645
-13.003254,-0.047620
-12.899975,-0.033373
-12.794777,-0.014074
-12.688734,0.007107
-12.582917,0.027000
-12.478092,0.043363
-12.374289,0.056146
-12.271433,0.065620
-12.169450,0.072056
-12.068264,0.075722
-11.967799,0.076891
-11.855546,0.075557
-11.744003,0.071787
-11.633064,0.065968
-11.522622,0.058484
-11.412570,0.049720
-11.302800,0.040061
-11.193205,0.029892
-11.083679,0.019598
-10.974114,0.009563
-10.864404,0.000173
-10.754440,-0.008188
-10.644126,-0.015170
-10.533450,-0.020730
-10.422442,-0.024970
-10.311132,-0.027995
-10.199551,-0.029911
-10.087728,-0.030824
-9.975694,-0.030837
-9.863479,-0.030057
-9.751114,-0.028588
-9.638628,-0.026536
-9.538565,-0.024307
-9.438451,-0.021774
-9.338308,-0.019011
-9.238158,-0.016091
-9.138021,-0.013089
-9.037920,-0.010078
-8.937874,-0.007133
-8.837901,-0.004311
-8.725514,-0.001305
-8.613211,0.001514
-8.500983,0.004134
-8.388826,0.006545
-8.276732,0.008735
-8.164696,0.010694
-8.052711,0.012410
-7.940771,0.013874
-7.828869,0.015074
-7.717000,0.015998
-7.605156,0.016637
-7.493332,0.016979
-7.381521,0.017014
-7.269717,0.016731
-7.157914,0.016118
-7.046106,0.015165
-6.934285,0.013860
-6.822446,0.012195
-6.710585,0.010176
-6.598704,0.007843
-6.486804,0.005236
-6.374885,0.002395
-6.262950,-0.000638
-6.151000,-0.003824
-6.039037,-0.007122
-5.927060,-0.010490
-5.815073,-0.013890
-5.703076,-0.017279
-5.591071,-0.020618
-5.479058,-0.023865
-5.367040,-0.026981
-5.255018,-0.029924
-5.142992,-0.032655
-5.030965,-0.035132
-4.918938,-0.037315
-4.806912,-0.039163
-4.694889,-0.040636
-4.582869,-0.041693
-4.470855,-0.042294
-4.358847,-0.042397
-4.246848,-0.041964
-4.134857,-0.040953
-4.022876,-0.039365
-3.910905,-0.037243
-3.798942,-0.034632
-3.686986,-0.031580
-3.575038,-0.028132
-3.463096,-0.024334
-3.351160,-0.020231
-3.239230,-0.015871
-3.127303,-0.011298
-3.015381,-0.006560
-2.903462,-0.001701
-2.791546,0.003232
-2.679631,0.008193
-2.567718,0.013137
-2.455805,0.018016
-2.343892,0.022786
-2.231979,0.027400
-2.120064,0.031812
-2.008147,0.035977
-1.896228,0.039848
-1.784305,0.043379
-1.672378,0.046524
-1.560447,0.049238
-1.448510,0.051475
-1.336567,0.053187
-1.224618,0.054330
-1.112662,0.054858
-1.000697,0.054724
-0.888725,0.053882
-0.776742,0.052287
-0.664751,0.049893
-0.552748,0.046653
-0.440734,0.042521
-0.328709,0.037452
-0.216671,0.031400
-0.104620,0.024318
0.007445,0.016161
0.119524,0.006882
